p0,p1
399.522|-13.8196,198.595|-200
204.311|-199.954,-345.125|-137.618
-246.758|194.457,-360.828|118.888
-367.936|-108.616,-24.3011|200
344.086|-138.706,370.286|104.894
320.057|159.957,305.985|-169.609
-399.641|11.9701,-399.795|-9.05737
228.452|-197.966,234.26|197.044
375.763|-95.433,382.143|82.6069
381.525|83.9556,370.81|-104.039
241.099|195.732,210.167|-199.741
-398.197|26.7981,-384.567|77.0383
-8.55823|-200,296.003|-175.452
396.748|35.9182,360.212|119.717
-324.263|156.712,-307.526|168.636
-343.241|-139.578,-392.303|-54.9499
365.292|-112.599,-202.193|-199.988
258.976|191.107,305.424|169.958
-259.227|-191.029,242.942|-195.336
-364.847|113.249,-28.7986|200
346.104|136.578,-289.286|-178.964
316.002|-162.922,-162.292|200
-399.875|7.06967,-162.292|200
351.777|130.245,-162.292|200
245.973|-194.644,-28.2494|-200
-143.426|200,105.794|200
-392.896|-52.8304,105.794|200
166.086|-200,105.794|200
321.062|-159.198,238.578|-196.244
398.175|-26.9578,212.866|199.586
359.188|121.075,134.519|-200
226.942|198.177,56.0916|200
-397.129|33.7648,-22.3361|-200
-53.1311|-200,-100.764|200
377.317|92.5124,-179.192|-200
-307.072|-168.925,-256.048|191.986
-331.427|150.755,-101.99|-200
399.868|-7.26895,55.2183|200
-363.664|-114.953,55.2183|200
-197.176|200,55.2183|200
14.2682|-200,212.278|-199.623
224.891|198.445,307.026|168.954
312.634|-165.268,-137.207|-200
-208.522|199.818,-137.207|-200
-395.146|43.7942,-137.207|-200
-293.09|-177.015,-399.223|17.6145
390.811|-59.9256,-78.2386|200
127.1|200,388.979|-65.4762
-267|-188.443,-392.86|52.9639
-306.31|169.405,225.992|-198.304
265.911|-188.827,383.548|-79.4355
369.938|105.456,362.357|116.791
-278.793|183.825,181.492|200
-398.667|23.0538,-389.865|-62.8601
-318.796|-160.896,374.028|98.5604
32.5821|-200,96.7636|-200
306.053|-169.566,-264.714|189.241
398.663|-23.0912,-297.351|-174.708
342.119|140.72,202.253|199.987
175.734|200,393.781|49.4852
-399.935|-5.10009,297.864|-174.421
238.036|-196.35,-385.089|-75.777
383.084|-80.5004,-175.368|200
370.405|104.7,128.82|-200
210.923|199.701,128.82|-200
-386.309|-72.726,128.82|-200
321.391|158.948,365.881|111.73
304.912|-170.275,-378.51|-90.1906
-357.84|122.827,-12.8142|200
-104.9|-200,370.654|-104.294
208.37|199.825,-270.775|187.059
386.67|-71.7929,-386.677|-71.7742
-103.969|-200,-96.1695|-200
-345.918|-136.777,399.132|18.6183
-386.38|72.5432,-288.914|179.149
-215.057|199.432,-392.769|-53.2918
367.695|-108.988,-183.384|-200
-25.6499|200,324.946|156.168
-382.993|-80.7066,178.563|-200
394.009|48.5869,14.165|200
-285.201|-180.944,-150.233|-200
-384.119|78.1042,-302.913|171.49
-98.7073|200,4.3516|-200
399.589|-12.8164,4.3516|-200
-244.837|-194.909,4.3516|-200
-388.438|-67.0171,308.656|167.91
-357.839|122.828,127.465|-200
-179.309|200,-69.5306|200
394.18|-47.8974,-261.718|-190.239
-399.622|12.2838,-194.809|200
398.375|-25.4467,-126.227|-200
-349.893|132.408,-57.644|200
-236.593|-196.624,10.9387|-200
97.2267|200,79.5214|200
97.2267|200,148.104|-200
97.2267|200,216.569|199.312
363.045|-115.829,218.134|-199.176
-332.897|149.46,146.461|200
-246.141|-194.605,74.6402|-200
94.8233|200,2.81957|200
365.132|-112.834,-69.0011|-200
-344.184|138.603,-140.822|200
-208.974|-199.799,-212.571|-199.605
-5.94511|200,-233.171|197.23
-5.94511|200,-118.35|-200
-5.94511|200,-2.72911|200
197.186|-200,112.892|-200
359.815|120.246,227.946|198.038
-398.44|-24.9317,228.345|-197.981
398.605|23.5831,112.438|200
-365.689|-112.014,-4.05663|-200
-171.18|200,-120.551|200
78.1795|-200,-236.09|-196.717
307.856|168.426,-204.493|199.95
65.5722|-200,-154.472|-200
-197.475|200,-104.445|200
-382.622|-81.5417,-54.4175|-200
283.608|-181.686,-4.39016|200
399.954|4.29064,45.6371|-200
275.737|185.105,95.6645|200
-392.237|55.18,145.692|-200
-118.956|-200,195.719|200
287.717|179.738,245.102|-194.848
254.732|-192.365,109.631|200
-39.1166|200,109.631|200
-312.659|-165.251,109.631|200
-86.7422|200,-27.6072|-200
-86.7422|200,-164.846|200
-86.7422|200,-294.028|-176.519
160.668|-200,-8.75544|200
359.228|121.023,281.242|-182.756
-377.038|-93.046,208.368|199.825
-18.2204|200,96.8814|-200
365.022|-112.994,-14.6541|200
-186.8|200,-126.19|-200
-377.739|91.6992,-126.19|-200
-355.416|-125.88,-126.19|-200
-125.197|-200,-236.774|196.59
397.468|-31.7264,-197.817|-200
79.7046|200,-158.525|200
-359.684|-120.421,-119.233|-200
51.3186|200,-79.9409|200
389.581|-63.7119,-40.6488|-200
-385.653|-74.3829,-1.35666|200
-90.1637|200,37.9354|-200
307.113|-168.899,77.2276|200
189.785|200,116.52|-200
62.5667|-200,155.812|200
-64.652|200,195.104|-200
-191.871|-200,234.108|197.07
-308.845|167.788,134.899|-200
103.952|-200,34.9572|200
103.952|-200,34.9572|200
103.952|-200,34.9572|200
391.851|56.5079,-64.9843|-200
-311.117|166.292,-164.926|200
-374.914|-96.9796,-262.375|-190.025
-64.6243|-200,-102.286|200
394.241|-47.6506,61.898|-200
154.534|200,225.416|198.378
154.534|200,277.276|-184.468
154.534|200,-20.354|200
-230.389|-197.678,-306.319|-169.4
-376.448|94.16,-122.288|200
289.644|178.784,76.9878|-200
399.419|-15.2389,269.968|187.362
261.438|-190.33,169.985|-200
-399.998|-0.91391,66.7403|200
253.506|192.71,-36.5045|-200
396.689|36.2418,-139.749|200
318.678|-160.983,-241.851|-195.572
-191.111|-200,-174.344|200
-237.529|-196.447,-106.082|-200
-280.366|-183.143,-37.8195|200
-319.161|-160.626,30.4429|-200
-351.962|-130.029,98.7053|200
-377.119|-92.892,166.968|-200
-393.367|-51.0821,234.712|196.965
-399.888|-6.70276,162.534|-200
-396.354|38.0138,89.8043|200
-382.944|80.8182,17.0744|-200
-360.331|119.557,-55.6554|200
-329.654|152.283,-128.385|-200
-292.454|177.348,-201.115|199.997
-250.604|193.492,-267.263|-188.35
-206.209|199.904,-46.3047|200
